id,order_no,customer_name,total_amount,status,order_date
279,"20241028003","刘勇国",458,"completed","2001-10-27"
280,"20241105007","刘勇国",288,"completed","2001-11-04"
281,"20241126001","刘勇国",202.5,"completed","2001-11-25"
282,"20240313004","卢猛",925,"completed","2001-03-12"
283,"20240328001","卢猛",1176,"completed","2001-03-27"
284,"20240404003","卢猛",183.4,"completed","2001-04-03"
285,"20240406003","卢猛",366,"completed","2001-04-05"
286,"20240414005","卢猛",744,"completed","2001-04-13"
287,"20240416005","卢猛",618,"completed","2001-04-15"
288,"20240426005","卢猛",884,"completed","2001-04-25"
289,"20240429005","卢猛",411,"completed","2001-04-28"
290,"20240504004","卢猛",740,"completed","2001-05-03"
291,"20240510007","卢猛",195,"completed","2001-05-09"
292,"20240519003","卢猛",1167,"completed","2001-05-18"
293,"20240527003","卢猛",1010,"completed","2001-05-26"
294,"20240530004","卢猛",260,"completed","2001-05-29"
295,"20240619001","卢猛",686,"completed","2001-06-18"
296,"20240622003","卢猛",500,"completed","2001-06-21"
297,"20240624005","卢猛",345,"completed","2001-06-23"
298,"20240711006","卢猛",533.5,"completed","2001-07-10"
299,"20240730004","卢猛",655,"completed","2001-07-29"
300,"20240805002","卢猛",968,"completed","2001-08-04"
301,"20240809011","卢猛",490,"completed","2001-08-08"
302,"20240826009","卢猛",1227.5,"completed","2001-08-25"
303,"20240918003","卢猛",516,"completed","2001-09-17"
304,"20240929010","卢猛",298,"completed","2001-09-28"
305,"20240930013","卢猛",402,"completed","2001-09-29"
306,"20241005005","卢猛",829,"completed","2001-10-04"
307,"20241101003","卢猛",648,"completed","2001-10-31"
308,"20241110005","卢猛",340,"completed","2001-11-09"
309,"20241201006","卢猛",444.5,"completed","2001-11-30"
310,"20241217002","卢猛",194,"completed","2001-12-16"
311,"20241230004","卢猛",874.5,"completed","2001-12-29"
312,"20240404007","卢老板",464.5,"completed","2001-04-03"
313,"20240427007","卢老板",254,"completed","2001-04-26"
314,"20240506003","卢老板",702,"completed","2001-05-05"
315,"20240514003","卢老板",899,"completed","2001-05-13"
316,"20240528001","卢老板",435,"completed","2001-05-27"
317,"20240618002","卢老板",1116,"completed","2001-06-17"
318,"20240629002","卢老板",230,"completed","2001-06-28"
319,"20240810005","卢老板",525,"completed","2001-08-09"
320,"20240827006","卢老板",388,"completed","2001-08-26"
321,"20240829005","卢老板",1091,"completed","2001-08-28"
322,"20240906002","卢老板",210,"completed","2001-09-05"
323,"20240909005","卢老板",1306,"completed","2001-09-08"
324,"20240912012","卢老板",340,"completed","2001-09-11"
325,"20240918002","卢老板",2143.5,"completed","2001-09-17"
326,"20240922007","卢老板",1196,"completed","2001-09-21"
327,"20240930011","卢老板",1298,"completed","2001-09-29"
328,"20241121004","卢老板",367,"completed","2001-11-20"
329,"20241203006","卢老板",741.5,"completed","2001-12-02"
330,"20240315004","原种场陈老板",1471.1999999999998,"completed","2001-03-14"
331,"20240419004","友鱼渔具",183.5,"completed","2001-04-18"
332,"20240423006","友鱼渔具",359,"completed","2001-04-22"
333,"20240427008","友鱼渔具",380,"completed","2001-04-26"
334,"20240522002","友鱼渔具",96.5,"completed","2001-05-21"
335,"20241126002","友鱼渔具",334,"completed","2001-11-25"
336,"20241230003","友鱼渔具",158,"completed","2001-12-29"
337,"20240327001","古培小磊",274,"completed","2001-03-26"
338,"20240329007","古培小磊",344,"completed","2001-03-28"
339,"20240421007","古培小磊",170,"completed","2001-04-20"
340,"20240813008","古培小磊",414,"completed","2001-08-12"
341,"20240325004","吴冬",1075,"completed","2001-03-24"
342,"20240407001","吴冬",1015,"completed","2001-04-06"
343,"20240411003","吴冬",130,"completed","2001-04-10"
344,"20240423007","吴冬",238,"completed","2001-04-22"
345,"20240520008","吴冬",663.5,"completed","2001-05-19"
346,"20240522004","吴冬",429,"completed","2001-05-21"
347,"20240608012","吴冬",453,"completed","2001-06-07"
348,"20240715002","吴冬",764,"completed","2001-07-14"
349,"20240809004","吴冬",250,"completed","2001-08-08"
350,"20240812001","吴冬",594,"completed","2001-08-11"
351,"20240826001","吴冬",452,"completed","2001-08-25"
352,"20240830008","吴冬",187,"completed","2001-08-29"
353,"20240913006","吴冬",586,"completed","2001-09-12"
354,"20240919005","吴冬",337,"completed","2001-09-18"
355,"20240927010","吴冬",514,"completed","2001-09-26"
356,"20241003003","吴冬",1091,"completed","2001-10-02"
357,"20241013008","吴冬",271,"completed","2001-10-12"
358,"20241017005","吴冬",177,"completed","2001-10-16"
359,"20241217003","吴冬",199.5,"completed","2001-12-16"
360,"20240314001","吴平辉",1385.5,"completed","2001-03-13"
361,"20240324003","吴平辉",351,"completed","2001-03-23"
362,"20240402002","吴平辉",1670,"completed","2001-04-01"
363,"20240405001","吴平辉",252.5,"completed","2001-04-04"
364,"20240414011","吴平辉",1944.5,"completed","2001-04-13"
365,"20240426002","吴平辉",1225,"completed","2001-04-25"
366,"20240428005","吴平辉",240,"completed","2001-04-27"
367,"20240430006","吴平辉",100,"completed","2001-04-29"
368,"20240501001","吴平辉",850,"completed","2001-04-30"
369,"20240501012","吴平辉",1429.4,"completed","2001-04-30"
370,"20240507002","吴平辉",503,"completed","2001-05-06"
371,"20240508001","吴平辉",518,"completed","2001-05-07"
372,"20240513001","吴平辉",1664,"completed","2001-05-12"
373,"20240518003","吴平辉",2199,"completed","2001-05-17"
374,"20240528003","吴平辉",2587.5,"completed","2001-05-27"
375,"20240605002","吴平辉",734.5,"completed","2001-06-04"
376,"20240608009","吴平辉",1330.5,"completed","2001-06-07"
377,"20240611002","吴平辉",546,"completed","2001-06-10"
378,"20240617004","吴平辉",490,"completed","2001-06-16"
379,"20240620001","吴平辉",345,"completed","2001-06-19"
380,"20240624006","吴平辉",499,"completed","2001-06-23"
381,"20240630002","吴平辉",260,"completed","2001-06-29"
382,"20240703004","吴平辉",830.5,"completed","2001-07-02"
383,"20240707001","吴平辉",1162,"completed","2001-07-06"
384,"20240709002","吴平辉",100,"completed","2001-07-08"
385,"20240711005","吴平辉",493,"completed","2001-07-10"
386,"20240714002","吴平辉",1006.8,"completed","2001-07-13"
387,"20240719001","吴平辉",343,"completed","2001-07-18"
388,"20240722004","吴平辉",638,"completed","2001-07-21"
389,"20240726008","吴平辉",1163,"completed","2001-07-25"
390,"20240728005","吴平辉",155,"completed","2001-07-27"
391,"20240730002","吴平辉",528.5,"completed","2001-07-29"
392,"20240803003","吴平辉",952,"completed","2001-08-02"
393,"20240804002","吴平辉",280,"completed","2001-08-03"
394,"20240806004","吴平辉",256,"completed","2001-08-05"
395,"20240808002","吴平辉",278,"completed","2001-08-07"
396,"20240809007","吴平辉",697.5,"completed","2001-08-08"
397,"20240814009","吴平辉",633,"completed","2001-08-13"
398,"20240826008","吴平辉",456,"completed","2001-08-25"
399,"20240828007","吴平辉",797,"completed","2001-08-27"
400,"20240829008","吴平辉",621.6,"completed","2001-08-28"
401,"20240831009","吴平辉",332.5,"completed","2001-08-30"
402,"20240903002","吴平辉",1348.5,"completed","2001-09-02"
403,"20240906008","吴平辉",574.4,"completed","2001-09-05"
404,"20240909010","吴平辉",846,"completed","2001-09-08"
405,"20240912013","吴平辉",302,"completed","2001-09-11"
406,"20240913012","吴平辉",1423.5,"completed","2001-09-12"
407,"20240914010","吴平辉",365,"completed","2001-09-13"
408,"20240915009","吴平辉",278,"completed","2001-09-14"
409,"20240918007","吴平辉",520,"completed","2001-09-17"
410,"20240920002","吴平辉",345,"completed","2001-09-19"
411,"20240923006","吴平辉",1219,"completed","2001-09-22"
412,"20240927005","吴平辉",432,"completed","2001-09-26"
413,"20240930014","吴平辉",1002.5,"completed","2001-09-29"
414,"20241002007","吴平辉",405,"completed","2001-10-01"
415,"20241003008","吴平辉",228,"completed","2001-10-02"
416,"20241004001","吴平辉",315,"completed","2001-10-03"
417,"20241014003","吴平辉",444,"completed","2001-10-13"
418,"20241021001","吴平辉",539,"completed","2001-10-20"
419,"20241024005","吴平辉",216,"completed","2001-10-23"
420,"20241028008","吴平辉",824,"completed","2001-10-27"
421,"20241103001","吴平辉",248,"completed","2001-11-02"
422,"20241111004","吴平辉",156,"completed","2001-11-10"
423,"20241116005","吴平辉",244.6,"completed","2001-11-15"
424,"20241124002","吴平辉",759,"completed","2001-11-23"
425,"20241218001","吴平辉",592.5,"completed","2001-12-17"
426,"20241220003","吴平辉",275,"completed","2001-12-19"
427,"20240428001","吴永新",1326.5,"completed","2001-04-27"
428,"20240428002","吴永新",504.20000000000005,"completed","2001-04-27"
429,"20240416006","吴满珍",977,"completed","2001-04-15"
430,"20240429006","吴满珍",412.5,"completed","2001-04-28"
431,"20240503003","吴满珍",603.2,"completed","2001-05-02"
432,"20240510008","吴满珍",982.5,"completed","2001-05-09"
433,"20240518002","吴满珍",348,"completed","2001-05-17"
434,"20240616001","吴满珍",384.2,"completed","2001-06-15"
435,"20240629004","吴满珍",451,"completed","2001-06-28"
436,"20240705001","吴满珍",118.8,"completed","2001-07-04"
437,"20240729006","吴满珍",553,"completed","2001-07-28"
438,"20240806006","吴满珍",572.5,"completed","2001-08-05"
439,"20240811004","吴满珍",245,"completed","2001-08-10"
440,"20240815004","吴满珍",658,"completed","2001-08-14"
441,"20240826004","吴满珍",419.5,"completed","2001-08-25"
442,"20240830004","吴满珍",618,"completed","2001-08-29"
443,"20240906005","吴满珍",642,"completed","2001-09-05"
444,"20240909003","吴满珍",390,"completed","2001-09-08"
445,"20240912011","吴满珍",168.5,"completed","2001-09-11"
446,"20240913007","吴满珍",832.5,"completed","2001-09-12"
447,"20240917006","吴满珍",441.5,"completed","2001-09-16"
448,"20240920003","吴满珍",574,"completed","2001-09-19"
449,"20240928001","吴满珍",446.9,"completed","2001-09-27"
450,"20240930012","吴满珍",311,"completed","2001-09-29"
451,"20241011002","吴满珍",308,"completed","2001-10-10"
452,"20241025001","吴满珍",303,"completed","2001-10-24"
453,"20241031001","吴满珍",70,"completed","2001-10-30"
454,"20241107002","吴满珍",630,"completed","2001-11-06"
455,"20241114001","吴满珍",111.5,"completed","2001-11-13"
456,"20240316006","周威",361.5,"completed","2001-03-15"
457,"20240401005","周林",1650.5,"completed","2001-03-31"
458,"20240401006","周林",1999.2999999999997,"completed","2001-03-31"
459,"20240401007","周林",1959.2999999999997,"completed","2001-03-31"
460,"20240416001","周林",1557.1,"completed","2001-04-15"
461,"20240425005","周林",1174,"completed","2001-04-24"
462,"20240426001","周林",1297,"completed","2001-04-25"
463,"20240520001","周林",771.5,"completed","2001-05-19"
464,"20240617001","周林",737,"completed","2001-06-16"
465,"20240626002","周林",697,"completed","2001-06-25"
466,"20240707002","周林",602,"completed","2001-07-06"
467,"20240814008","周林",1349.6,"completed","2001-08-13"
468,"20240814011","周林",1064.5,"completed","2001-08-13"
469,"20240912002","周林",1580.5,"completed","2001-09-11"
470,"20241014004","周林",1594,"completed","2001-10-13"
471,"20241014007","周林",124.5,"completed","2001-10-13"
472,"20241029003","周林",314.7,"completed","2001-10-28"
473,"20241105001","周林",231,"completed","2001-11-04"
474,"20241205005","周林",550.8,"completed","2001-12-04"
475,"20241216001","周林",518.5,"completed","2001-12-15"
476,"20240726001","唐",1142.8,"completed","2001-07-25"
477,"20240726002","唐",294,"completed","2001-07-25"
478,"20240802005","唐",360.5,"completed","2001-08-01"
479,"20240905001","唐",685.2,"completed","2001-09-04"
480,"20240913008","唐",166,"completed","2001-09-12"
481,"20241001007","唐",1438.2,"completed","2001-09-30"
482,"20241105002","唐",221,"completed","2001-11-04"
483,"20241116006","唐",156,"completed","2001-11-15"
484,"20240308003","唯一",120,"completed","2001-03-07"
485,"20240308004","唯一",120,"completed","2001-03-07"
